question_id,answer_text,expected_concepts,answer_length,keyword_coverage,tfidf_similarity,semantic_similarity,concept_coverage,relevance_score,human_score,quality_class
301,"A process is an isolated executing program instance with its own private address space and PCB, whereas a thread is the smallest schedulable execution unit sharing memory, heap, and file descriptors with peer threads inside a process. Context switching processes incurs heavy overhead because page tables and TLB must be flushed. Virtual memory provides hardware memory abstraction through page tables managed by the MMU; a page fault interrupts execution when an accessed page is not resident in physical RAM, triggering a disk swap into an available frame.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,81,0.537,0.264,0.378,0.571,0.333,95.5,Excellent
301,"A process has its own address space, while threads share the same process memory and heap. Context switching a process is slower because of TLB cache flushes. Page faults happen when virtual address is not in RAM, so OS loads page from disk.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,38,0.344,0.305,0.256,0.366,0.276,80.6,Good
301,"A process has its own address space, while threads share the same process memory and heap. Context switching a process is slower because of TLB cache flushes. Page faults happen when virtual address is not in RAM, so OS loads page from disk.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,40,0.379,0.303,0.347,0.403,0.329,87.0,Excellent
301,Process is heavy and thread is lightweight. Threads share variables. Virtual memory uses hard disk as RAM when physical memory is full.,process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,21,0.243,0.197,0.142,0.259,0.164,52.6,Average
301,Process is heavy and thread is lightweight. Threads share variables. Virtual memory uses hard disk as RAM when physical memory is full.,process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,23,0.209,0.137,0.171,0.222,0.158,52.4,Average
301,Process runs in background and thread is part of it.,process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,10,0.157,0.124,0.085,0.167,0.101,21.2,Poor
301,Process runs in background and thread is part of it.,process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,10,0.118,0.086,0.105,0.126,0.097,22.9,Poor
302,"The four Coffman conditions are mutual exclusion, hold and wait, no preemption, and circular wait. A mutex is an ownership-based locking mechanism allowing only one thread to access a critical section. A semaphore is a signaling mechanism with an integer counter supporting synchronization across threads. A spinlock repeatedly polls the lock in a busy loop without yielding CPU time, suitable only for very low latency scenarios.",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,62,0.549,0.368,0.412,0.584,0.394,92.6,Excellent
302,"The four Coffman conditions are mutual exclusion, hold and wait, no preemption, and circular wait. A mutex is an ownership-based locking mechanism allowing only one thread to access a critical section. A semaphore is a signaling mechanism with an integer counter supporting synchronization across threads. A spinlock repeatedly polls the lock in a busy loop without yielding CPU time, suitable only for very low latency scenarios.",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,61,0.517,0.315,0.437,0.55,0.388,92.3,Excellent
302,"The four conditions for deadlock are mutual exclusion, hold and wait, no preemption, and circular wait. Mutex is a locking primitive for one thread, semaphore uses counters for signaling, and spinlock burns CPU cycles in a busy wait.",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,37,0.414,0.457,0.436,0.44,0.444,78.7,Good
302,"The four conditions for deadlock are mutual exclusion, hold and wait, no preemption, and circular wait. Mutex is a locking primitive for one thread, semaphore uses counters for signaling, and spinlock burns CPU cycles in a busy wait.",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,42,0.457,0.364,0.429,0.486,0.403,83.6,Good
302,Deadlock happens when processes wait for each other in circle. Mutex locks critical section so race condition does not happen.,deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,20,0.281,0.171,0.303,0.299,0.25,51.5,Average
302,Deadlock happens when processes wait for each other in circle. Mutex locks critical section so race condition does not happen.,deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,24,0.248,0.156,0.287,0.264,0.235,54.7,Average
302,Deadlock stops the computer from working.,deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,12,0.047,0.081,0.05,0.05,0.063,18.9,Poor
302,Deadlock stops the computer from working.,deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,7,0.047,0.05,0.05,0.05,0.05,23.7,Poor
304,"ACID stands for Atomicity (all-or-nothing transactions via WAL), Consistency (database rules preserved), Isolation (concurrent transactions don't interfere), and Durability (committed changes persist). Isolation levels govern concurrency phenomena: Read Committed eliminates dirty reads; Repeatable Read prevents non-repeatable reads by ensuring consistent snapshots; Serializable prevents phantom reads by enforcing serial transaction execution via two-phase locking or MVCC serialization checks.",acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,58,0.674,0.304,0.558,0.717,0.456,96.3,Excellent
304,"ACID stands for Atomicity (all-or-nothing transactions via WAL), Consistency (database rules preserved), Isolation (concurrent transactions don't interfere), and Durability (committed changes persist). Isolation levels govern concurrency phenomena: Read Committed eliminates dirty reads; Repeatable Read prevents non-repeatable reads by ensuring consistent snapshots; Serializable prevents phantom reads by enforcing serial transaction execution via two-phase locking or MVCC serialization checks.",acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,54,0.748,0.32,0.505,0.795,0.431,97.7,Excellent
304,"ACID is Atomicity, Consistency, Isolation, and Durability. Read committed prevents dirty reads. Repeatable read prevents non-repeatable reads. Serializable is highest isolation preventing phantom reads.",acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,23,0.453,0.377,0.452,0.482,0.422,78.6,Good
304,"ACID is Atomicity, Consistency, Isolation, and Durability. Read committed prevents dirty reads. Repeatable read prevents non-repeatable reads. Serializable is highest isolation preventing phantom reads.",acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,19,0.452,0.386,0.434,0.481,0.415,83.5,Good
304,ACID makes transactions reliable. Isolation levels control how transactions see data from other transactions.,acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,17,0.131,0.05,0.127,0.139,0.096,48.4,Average
304,ACID makes transactions reliable. Isolation levels control how transactions see data from other transactions.,acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,13,0.125,0.05,0.057,0.133,0.054,49.9,Average
304,It keeps database safe when server crashes.,acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,6,0.047,0.05,0.05,0.05,0.05,20.8,Poor
304,It keeps database safe when server crashes.,acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,6,0.047,0.05,0.05,0.05,0.05,18.8,Poor
305,"TCP establishes connections via a 3-way handshake: SYN from client, SYN-ACK from server, and ACK from client with synchronized sequence numbers. Connection termination uses a 4-way exchange with FIN and ACK packets from both endpoints. The initiating client enters TIME_WAIT state for 2 times Maximum Segment Lifetime (2MSL) to ensure that final ACK reaches server reliably and to allow any lingering duplicate packets in the network to expire before the same socket can be reused.",tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,70,0.576,0.316,0.442,0.613,0.392,97.5,Excellent
305,"TCP establishes connections via a 3-way handshake: SYN from client, SYN-ACK from server, and ACK from client with synchronized sequence numbers. Connection termination uses a 4-way exchange with FIN and ACK packets from both endpoints. The initiating client enters TIME_WAIT state for 2 times Maximum Segment Lifetime (2MSL) to ensure that final ACK reaches server reliably and to allow any lingering duplicate packets in the network to expire before the same socket can be reused.",tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,71,0.656,0.295,0.404,0.698,0.36,95.9,Excellent
305,"TCP 3-way handshake uses SYN, SYN-ACK, and ACK. Closing uses FIN and ACK. The client enters TIME_WAIT for 2MSL so late packets die out and don't corrupt a new connection.",tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,24,0.208,0.363,0.293,0.222,0.321,85.5,Excellent
305,"TCP 3-way handshake uses SYN, SYN-ACK, and ACK. Closing uses FIN and ACK. The client enters TIME_WAIT for 2MSL so late packets die out and don't corrupt a new connection.",tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,25,0.151,0.351,0.325,0.16,0.336,85.6,Excellent
305,TCP sends SYN then gets ACK to connect. TIME_WAIT waits some time before closing port completely.,tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,12,0.172,0.135,0.206,0.183,0.178,50.6,Average
305,TCP sends SYN then gets ACK to connect. TIME_WAIT waits some time before closing port completely.,tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,22,0.151,0.235,0.216,0.16,0.223,52.6,Average
305,It connects internet with handshake.,tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,11,0.047,0.05,0.05,0.05,0.05,17.6,Poor
305,It connects internet with handshake.,tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,6,0.047,0.05,0.05,0.05,0.05,21.5,Poor
